Date,Price,Pop
2020-07-28 18:49:03.267725,74.25,237913
2020-07-28 18:49:18.693054,74.24,237913
2020-07-28 18:49:34.119466,74.24,237913
2020-07-28 18:49:49.539770,74.24,237913
2020-07-28 18:50:04.955837,74.24,237913
2020-07-28 18:50:20.383246,74.24,237913
2020-07-28 18:50:35.832152,74.17,237913
2020-07-28 18:50:51.263863,74.17,237913
2020-07-28 18:51:06.700379,74.22,237913
2020-07-28 18:51:22.132384,74.22,237913
2020-07-28 18:51:37.561282,74.22,237913
2020-07-28 18:51:52.987178,74.22,237913
2020-07-28 18:52:08.395595,74.22,237913
2020-07-28 18:52:23.865855,74.22,237913
2020-07-28 18:52:39.302790,74.22,237913
2020-07-28 18:52:54.717970,74.24,237913
2020-07-28 18:53:10.138880,74.23,237913
2020-07-28 18:53:25.560705,74.23,237913
2020-07-28 18:53:41.038372,74.23,237913
2020-07-28 18:53:56.452795,74.23,237913
2020-07-28 18:54:11.889490,74.23,237913
2020-07-28 18:54:27.302588,74.3,237913
2020-07-28 18:54:42.804861,74.3,237913
2020-07-28 18:54:58.222550,74.3,237913
2020-07-28 18:55:13.645534,74.3,237913
2020-07-28 18:55:29.064794,74.3,237913
2020-07-28 18:55:44.481894,74.34,237913
2020-07-28 18:55:59.924604,74.34,237913
2020-07-28 18:56:15.357210,74.34,237913
2020-07-28 18:56:30.783853,74.33,237913
2020-07-28 18:56:46.209229,74.3,237913
2020-07-28 18:57:01.599971,74.3,237913
2020-07-28 18:57:17.017383,74.3,237913
2020-07-28 18:57:32.460780,74.3,237913
2020-07-28 18:57:47.869068,74.3,237913
2020-07-28 18:58:03.284737,74.33,237913
2020-07-28 18:58:18.716500,74.33,237913
2020-07-28 18:58:34.145162,74.33,237913
2020-07-28 18:58:49.582258,74.33,237913
2020-07-28 18:59:04.995891,74.33,237913
2020-07-28 18:59:20.441217,74.33,237913
2020-07-28 18:59:35.881781,74.4,237913
2020-07-28 18:59:51.310801,74.44,237913
2020-07-28 19:00:06.733678,74.42,237913
2020-07-28 19:00:22.179009,74.44,237913
2020-07-28 19:00:37.612527,74.44,237913
2020-07-28 19:00:53.035609,74.44,237913
2020-07-28 19:01:08.473004,74.44,237913
2020-07-28 19:01:23.914885,74.44,237913
2020-07-28 19:01:39.349184,74.35,237913
2020-07-28 19:01:54.783236,74.35,237913
2020-07-28 19:02:10.202875,74.34,237913
2020-07-28 19:02:25.632076,74.35,237913
2020-07-28 19:02:41.071108,74.35,237913
2020-07-28 19:02:56.480442,74.35,237913
2020-07-28 19:03:11.955202,74.35,237913
2020-07-28 19:03:27.396152,74.35,237913
2020-07-28 19:03:42.808647,74.35,237913
2020-07-28 19:03:58.243425,74.4,237913
2020-07-28 19:04:13.680298,74.4,237913
2020-07-28 19:04:29.079889,74.4,237913
2020-07-28 19:04:44.490975,74.38,237913
2020-07-28 19:04:59.915481,74.42,237913
2020-07-28 19:05:15.339999,74.4,237913
2020-07-28 19:05:30.783607,74.42,237913
2020-07-28 19:05:46.212118,74.42,237913
2020-07-28 19:06:01.620260,74.42,237913
2020-07-28 19:06:17.033675,74.42,237913
2020-07-28 19:06:32.469653,74.44,237913
2020-07-28 19:06:47.908367,74.43,237913
2020-07-28 19:07:03.331363,74.43,237913
2020-07-28 19:07:18.741013,74.42,237913
2020-07-28 19:07:34.170780,74.45,237913
2020-07-28 19:07:49.607603,74.45,237913
2020-07-28 19:08:05.053447,74.45,237913
2020-07-28 19:08:20.500717,74.45,237913
2020-07-28 19:08:35.940937,74.44,237913
2020-07-28 19:08:51.369467,74.42,237913
2020-07-28 19:09:06.798600,74.42,237913
2020-07-28 19:09:22.234546,74.4,237913
2020-07-28 19:09:37.671380,74.4,237913
2020-07-28 19:09:53.113831,74.4,237913
2020-07-28 19:10:08.546547,74.4,237913
2020-07-28 19:10:24.052512,74.4,237913
2020-07-28 19:10:39.486828,74.4,237913
2020-07-28 19:10:54.900739,74.4,237913
Date,Price,Pop
2020-07-28 19:11:10.344922,74.4,237913
2020-07-28 19:11:25.747506,74.35,237913
2020-07-28 19:11:41.197038,74.4,237913
2020-07-28 19:11:56.612038,74.4,237913
2020-07-28 19:12:12.099013,74.4,237913
2020-07-28 19:12:27.538588,74.4,237913
2020-07-28 19:12:42.975095,74.4,237913
2020-07-28 19:12:58.392865,74.4,237913
2020-07-28 19:13:13.863644,74.4,237913
2020-07-28 19:13:29.273461,74.4,237913
2020-07-28 19:13:44.721985,74.4,237913
2020-07-28 19:14:00.145186,74.4,237913
2020-07-28 19:14:15.573499,74.4,237913
2020-07-28 19:14:31.009859,74.39,237913
2020-07-28 19:14:46.465538,74.39,237913
2020-07-28 19:15:01.884009,74.39,237913
2020-07-28 19:15:17.318391,74.39,237913
2020-07-28 19:15:32.726961,74.46,237913
2020-07-28 19:15:48.136876,74.44,237913
2020-07-28 19:16:03.563905,74.44,237913
2020-07-28 19:16:18.997291,74.44,237913
2020-07-28 19:16:34.429600,74.45,237913
2020-07-28 19:16:50.049609,74.4,237913
2020-07-28 19:17:05.467475,74.4,237913
2020-07-28 19:17:20.906182,74.44,237913
2020-07-28 19:17:36.326207,74.44,237913
2020-07-28 19:17:51.772185,74.4,237913
2020-07-28 19:18:07.205754,74.44,237913
2020-07-28 19:18:22.631001,74.44,237913
2020-07-28 19:18:38.051225,74.44,237913
2020-07-28 19:18:53.650581,74.42,237913
2020-07-28 19:19:09.066644,74.42,237913
2020-07-28 19:19:24.475810,74.46,237913
2020-07-28 19:19:39.898574,74.49,237913
2020-07-28 19:19:55.336513,74.49,237913
2020-07-28 19:20:10.765813,74.5,237913
2020-07-28 19:20:26.214576,74.5,237913
2020-07-28 19:20:41.636579,74.5,237913
2020-07-28 19:20:57.064730,74.5,237913
2020-07-28 19:21:12.481223,74.5,237913
2020-07-28 19:21:27.924997,74.5,237913
2020-07-28 19:21:43.350350,74.5,237913
2020-07-28 19:21:58.788360,74.5,237913
2020-07-28 19:22:14.257993,74.49,237913
2020-07-28 19:22:29.690776,74.49,237913
2020-07-28 19:22:45.142508,74.48,237913
2020-07-28 19:23:00.559720,74.5,237913
2020-07-28 19:23:15.995556,74.5,237913
2020-07-28 19:23:31.453635,74.5,237913
2020-07-28 19:23:46.892462,74.5,237913
2020-07-28 19:24:02.341946,74.5,237913
2020-07-28 19:24:17.768747,74.5,237913
2020-07-28 19:24:33.203187,74.52,237913
2020-07-28 19:24:48.624864,74.52,237913
2020-07-28 19:25:04.424782,74.51,237913
2020-07-28 19:25:19.842894,74.5,237913
2020-07-28 19:25:35.271803,74.5,237913
2020-07-28 19:25:50.690113,74.5,237913
2020-07-28 19:26:06.120293,74.5,237913
2020-07-28 19:26:21.575345,74.5,237913
2020-07-28 19:26:36.992544,74.5,237913
2020-07-28 19:26:52.442577,74.5,237913
2020-07-28 19:27:07.899964,74.5,237913
2020-07-28 19:27:23.338164,74.5,237913
2020-07-28 19:27:38.762374,74.46,237913
2020-07-28 19:27:54.197434,74.46,237913
2020-07-28 19:28:09.633653,74.52,237913
2020-07-28 19:28:25.092193,74.54,237913
2020-07-28 19:28:40.535113,74.54,237913
2020-07-28 19:28:55.982321,74.54,237913
2020-07-28 19:29:11.432837,74.55,237913
2020-07-28 19:29:26.865046,74.57,237913
2020-07-28 19:29:42.339614,74.55,237913
2020-07-28 19:29:57.792557,74.55,237913
2020-07-28 19:30:13.251426,74.58,237913
2020-07-28 19:30:28.706040,74.57,237913
2020-07-28 19:30:44.210184,74.57,237913
2020-07-28 19:30:59.642040,74.55,237913
2020-07-28 19:31:15.067851,74.57,237913
2020-07-28 19:31:30.492665,74.57,237913
2020-07-28 19:31:45.939564,74.59,237913
2020-07-28 19:32:01.381701,74.59,237913
2020-07-28 19:32:16.837608,74.55,237913
2020-07-28 19:32:32.287140,74.58,237913
2020-07-28 19:32:47.715473,74.55,237913
2020-07-28 19:33:03.153347,74.58,237913
2020-07-28 19:33:18.572676,74.58,237913
2020-07-28 19:33:34.034899,74.58,237913
2020-07-28 19:33:49.481189,74.55,237913
2020-07-28 19:34:04.914616,74.55,237913
2020-07-28 19:34:20.337227,74.55,237913
2020-07-28 19:34:35.772030,74.55,237913
2020-07-28 19:34:51.203860,74.54,237913
2020-07-28 19:35:06.651615,74.52,237913
2020-07-28 19:35:22.086691,74.53,237913
2020-07-28 19:35:37.510824,74.51,237913
2020-07-28 19:35:52.956713,74.5,237913
2020-07-28 19:36:08.395935,74.5,237913
2020-07-28 19:36:23.851307,74.5,237913
2020-07-28 19:36:39.282933,74.5,237913
Date,Price,Pop
2020-07-28 19:36:54.701645,74.5,237913
2020-07-28 19:37:10.134186,74.5,237913
2020-07-28 19:37:25.562281,74.5,237913
2020-07-28 19:37:40.997669,74.5,237913
2020-07-28 19:37:56.426743,74.55,237913
2020-07-28 19:38:11.850051,74.55,237913
2020-07-28 19:38:27.291070,74.55,237913
2020-07-28 19:38:42.800004,74.55,237913
2020-07-28 19:38:58.238997,74.55,237913
2020-07-28 19:39:13.679421,74.55,237913
2020-07-28 19:39:29.107092,74.55,237913
2020-07-28 19:39:44.544969,74.55,237913
2020-07-28 19:39:59.995196,74.55,237913
2020-07-28 19:40:15.430509,74.55,237913
2020-07-28 19:40:30.895488,74.53,237913
2020-07-28 19:40:46.329787,74.55,237913
2020-07-28 19:41:01.760495,74.55,237913
2020-07-28 19:41:17.212595,74.55,237913
2020-07-28 19:41:32.669549,74.57,237913
2020-07-28 19:41:48.101486,74.58,237913
2020-07-28 19:42:03.567225,74.58,237913
2020-07-28 19:42:19.009281,74.57,237913
2020-07-28 19:42:34.443511,74.57,237913
